alt_identifier,ImageNumber,B cell,CD4 T cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal,tumour_purity
CR001,101,0.01686182669789227,0.059484777517564404,0.028805620608899296,0.22142857142857142,0.048243559718969556,0.02423887587822014,0.16276346604215455,0.003044496487119438,0.09531615925058548,0.3398126463700234,0.4795081967213114
CR001,102,0.025063856960408686,0.06433588761174969,0.017241379310344827,0.30938697318007663,0.04102809706257982,0.02554278416347382,0.14064495530012772,0.0027139208173690933,0.041666666666666664,0.33237547892720304,0.49169859514687103
CR008,28,0.013733333333333334,0.037333333333333336,0.0192,0.3948,0.019733333333333332,0.027733333333333332,0.010266666666666667,0.0013333333333333333,0.04186666666666667,0.434,0.4469333333333333
CR008,29,0.03495379670550422,0.10445962233828847,0.03495379670550422,0.13097629570108477,0.0889915628766573,0.02109280835676979,0.008638007231820007,0.0022097227802330252,0.0018079550020088388,0.5719164323021294,0.14142225793491361
CR008,30,0.022707203229468904,0.032294689037466885,0.015390437744417812,0.34691560489466383,0.04251293049072789,0.026491737101047054,0.008199823388419326,0.008956730162734957,0.28548000504604515,0.2110508389050082,0.6405954333291284
CR014,103,0.047872340425531915,0.05851063829787234,0.11436170212765957,0.02127659574468085,0.2473404255319149,0.04521276595744681,0.005319148936170213,0.005319148936170213,0,0.45478723404255317,0.026595744680851064
CR014,104,0.06666666666666667,0.013333333333333334,0.05333333333333334,0.013333333333333334,0.10666666666666667,0.25333333333333335,0,0,0.013333333333333334,0.48,0.02666666666666667
CR014,105,0.026657313223430377,0.03262013328656612,0.020694493160294633,0.38091897579796563,0.05471764293230445,0.06769554542265871,0.009119607155384075,0.004910557699052964,0.03998596983514556,0.3626797614871975,0.4300245527884953
CR014,106,0.022758620689655173,0.01793103448275862,0.05172413793103448,0.19448275862068964,0.04275862068965517,0.046206896551724136,0.015172413793103448,0.007586206896551724,0.10206896551724139,0.4993103448275862,0.3117241379310345
CR014,107,0.011853803095159697,0.04445176160684886,0.08824497859729996,0.2225880803424432,0.045110306223246625,0.10470859400724399,0.01975633849193283,0.009548896937767533,0.08034244320052683,0.37339479749753046,0.3226868620349029
CR014,108,0.0177168386997381,0.032968725928208285,0.061315667847789246,0.3540286550608535,0.06932676012940996,0.04513942381759359,0.024033276844862117,0.006008319211215529,0.08257587428747497,0.3068864581728547,0.4606378061931906
CR020,109,0.013986013986013986,0.09507513762832911,0.13822347864901055,0.34221098050885285,0.04538015176313049,0.04805832465406933,0.009224817735456033,0.010415116798095522,0.15131676833804494,0.14610920993899718,0.5027525665823538
CR023,23,0.04920767306088407,0.05521267723102585,0.03269391159299416,0.03769808173477898,0.08874061718098415,0.021351125938281902,0.012510425354462052,8.340283569641367e-4,0.001834862385321101,0.6999165971643035,0.05204336947456213
CR023,24,0.013610446937649439,0.04947581386794188,0.048924038992091225,0.10134265219790325,0.07338605848813684,0.027588743792532646,0.01710502115137024,9.196247930844216e-4,0.005333823799889645,0.6623137759794004,0.12378149714916314
CR023,25,0.014950419527078566,0.030358504958047292,0.016933638443935927,0.18459191456903126,0.019221967963386728,0.007017543859649123,0.014797864225781845,0.0013729977116704805,0.02745995423340961,0.6832951945080091,0.22684973302822273
CR023,26,0.014124293785310734,0.06630109670987039,0.049850448654037885,0.37188434695912265,0.03738783649052842,0.026753074111000332,0.01030242605516783,0.003323363243602526,0.09654370222665337,0.3235294117647059,0.47873047524094386
CR023,27,0.011668036154478225,0.04124897288414133,0.03155299917830731,0.3697617091207888,0.023500410846343467,0.007559572719802793,0.011010682004930156,0.0011503697617091207,0.0466721446179129,0.4558751027115859,0.4274445357436319
CR027,31,0.007608695652173913,0.05478260869565217,0.08478260869565217,0.14739130434782607,0.06152173913043478,0.11739130434782609,0.2593478260869565,0.0034782608695652175,0.12021739130434783,0.14347826086956522,0.5269565217391304
CR027,32,0.008722741433021807,0.04631360332294912,0.08556593977154725,0.1557632398753894,0.030737279335410178,0.15181723779854622,0.18400830737279336,0.003946002076843198,0.16386292834890967,0.16926272066458983,0.5036344755970924
CR027,33,0.005597688696280245,0.06951968219573854,0.06951968219573854,0.211087035030697,0.046406644998194295,0.11971830985915492,0.14265077645359336,0.007403394727338389,0.10328638497652583,0.2248104008667389,0.4570241964608162
CR027,34,0.0071121402580218325,0.07476017201455508,0.036553092954019185,0.16291763149189548,0.04531921931855772,0.26414158121071785,0.06979821369500497,0.0077737347006285144,0.06599404565001654,0.26563016870658285,0.298709890836917
CR034,110,0.01001078084090559,0.03141845063914985,0.0628369012782997,0.21838903434467888,0.035730787001386106,0.08824888341290621,0.14846758047127676,0.01339904512551979,0.27999383951948253,0.11150469736639458,0.6468504543354382
CR034,111,0.01253704125826305,0.04992021882835651,0.04764075678139959,0.2058354228402097,0.040346478231137455,0.14246637793480738,0.15637109642124458,0.004330977889218144,0.10736266241167085,0.23318896740369272,0.46956918167312517
CR034,112,0.009302325581395349,0.019476744186046512,0.02732558139534884,0.24273255813953487,0.047674418604651166,0.045930232558139536,0.1558139534883721,0.01627906976744186,0.19476744186046513,0.24069767441860465,0.5933139534883721
CR038,35,0.011297330850403476,0.015145872129112352,0.012290502793296089,0.2749844816883923,0.03314711359404097,0.03525760397268777,0.01899441340782123,0.01973929236499069,0.35456238361266296,0.2245810055865922,0.6485412787088765
CR038,36,0.012486126526082131,0.038984461709211986,0.01956159822419534,0.28093784683684797,0.05063817980022198,0.023446170921198668,0.015815760266370698,0.016648168701442843,0.25679800221975585,0.2846836847946726,0.5535516093229745
CR038,37,0.009568140677527799,0.05068528575122834,0.021722265321955005,0.3108352728213085,0.04473752262735971,0.018101887768295837,0.011895526247737265,0.01616239979312128,0.24553917765709854,0.2707525213343677,0.5682699767261443
CR041,113,0.018368175360259795,0.029632636492794805,0.040897097625329816,0.518875583519383,0.015019281510046681,0.07956159935051756,0.014207428455449563,0.012888167241729247,0.18063730464785874,0.08991272579663082,0.7137203166226913
CR041,114,0.017655536872447752,0.03915445592121067,0.06029305789094403,0.4972375690607735,0.015493634398270478,0.022339658899831853,0.01165025222195532,0.006005284650492433,0.11470093682440548,0.2154696132596685,0.6235887581071343
CR043,115,0.016203703703703703,0.020833333333333332,0.19386574074074073,0.25752314814814814,0.02141203703703704,0.13541666666666666,0.023148148148148147,0.0023148148148148147,0.13541666666666666,0.19386574074074073,0.4160879629629629
CR043,116,0.017229953611663355,0.01855533465871438,0.06096752816434725,0.5149105367793241,0.04506295559973492,0.05168986083499006,0.01126573889993373,0.00728959575878065,0.07157057654075547,0.20145791915175612,0.5977468522200133
CR043,117,0.016556291390728478,0.02207505518763797,0.10706401766004416,0.40783664459161145,0.02704194260485651,0.07505518763796909,0.02097130242825607,0.002207505518763797,0.16280353200883002,0.15838852097130243,0.5916114790286975
CR048,118,0.011230697239120261,0.022461394478240523,0.044220870379036034,0.4349555451567618,0.08048666354702855,0.15582592419279365,0.010996724379971923,0.0070191857744501636,0.13897987833411324,0.09382311651848385,0.5849321478708469
CR048,119,0.014248704663212436,0.014507772020725389,0.04145077720207254,0.3194300518134715,0.14300518134715026,0.2,0.009067357512953367,0.0038860103626943004,0.08678756476683938,0.16761658031088084,0.41528497409326426
CR051,120,0.020032780914223274,0.022400291385904207,0.08814423602258241,0.3216171917683482,0.055909670369695866,0.030413403751593515,0.01730103806228374,0.00364232380258605,0.11200145692952103,0.3285376069932617,0.4509196867601529
CR051,121,0.01173469387755102,0.01683673469387755,0.12244897959183673,0.28061224489795916,0.02465986394557823,0.11768707482993197,0.012244897959183673,0.010884353741496598,0.20612244897959184,0.1967687074829932,0.4989795918367347
CR052,38,0.014091768345076474,0.029558343357965287,0.06014779171678983,0.29592713524660597,0.0864409692387008,0.03918199003265166,0.13507475511256228,0.009795497508162915,0.09606461591338718,0.23371713352809761,0.5270665062725555
CR052,39,0.02039832958560874,0.05541278509476389,0.1583681336331513,0.16543527144233858,0.08866045615162223,0.06601349180854481,0.12849341471249598,0.012206874397687119,0.06119498875682621,0.24381625441696114,0.3551236749116608
CR052,40,0.011868966608640608,0.048267130875138474,0.03845545181199557,0.27852508308276624,0.07975945561006488,0.01819908213324893,0.10919449279949359,0.00838740307010603,0.0740623516379174,0.33328058237062824,0.4617819275201772
CR052,41,0.05439229843561973,0.13369434416365825,0.28435619735258727,0.1565583634175692,0.038628158844765344,0.029843561973525872,0.004452466907340554,0.013718411552346571,0.05631768953068592,0.22803850782190133,0.21732851985559568
